Disease,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom,Symptom
14128-muscular-dystrophy,arrhythmia heart failure,breathing problems,cardiomyopathy,curved spine ( scoliosis ),enlarged calf muscles,genetic mutations,heart problems,muscle pain,muscle weakness,stiff loose joints,trouble swallowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14422-neurofibromatosis-type-1-nf1,arterial narrowing,bone abnormalities,café-au-lait spots,central peripheral nervous systems,flat patches light brown coffee-colored skin,high blood pressure ( hypertension ),larger freckles,lisch nodules,macrocephaly,many freckles armpit groin region,optic gliomas,problems vision,scoliosis ( curved spine ) bowing ( curving ) leg bones,seizures,short stature ( height ),small non-cancerous growths,speech problems,spontaneous mutation,spots freckles,spots painful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15221-juvenile-polyposis-syndrome-jps,abdominal pain,anemia,bleeding rectum,blood stool,chronic ( long-term ) weight loss,cramping,defect,diarrhea constipation,extreme tiredness ),gene change,hereditary hemorrhagic telangiectasia,lead polyps,polyps,polyps visible coming rectum,problem defect gene function,shortage red blood cells,two different genes ( bmpra smad ) linked jps,weakness fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16813-brugada-syndrome,atrial fibrillation,cardiac arrest,channelopathy,defect changes,ecg printout,fainting ( syncope ),fluttering flip-flopping chest,genetic mutation,heart palpitations,irregular heart rhythm,lower chambers heart ),upper chambers heart ),ventricular tachyarrhythmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16818-heart-attack-myocardial-infarction,amount damage,angina,anxiety,atherosclerosis,blockage,blood clot,blood clot air bubble,blood vessels muscle lining,chest pain,"chest spread ( radiate ) areas like left arm ( arms ) , shoulder , neck , jaw , back toward waist",clot blocks artery,crushing pain,diabetes,discomfort,dizzy,electrolyte imbalances,embolism,fatigue insomnia,greatly age menopause,high blood pressure ( hypertension ),high cholesterol ( hyperlipidemia,impending doom,indigestion,life-threatening condition,location blockage,mistaken indigestion,nausea,nausea stomach discomfort,nstemi,obesity,obstruction,"pain back , shoulders , neck , arms abdomen",plaque,preeclampsia,pregnancy,shortness breath,spasm artery,stemi,stuck rupture,sudden rupture plaque,sweating,tears ruptures coronary arteries,trauma,trouble breathing,twitch spasm,unstable angina,unusual narrowing blood vessels,vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22077-apert-syndrome,breathing problems,bulging,changes facial bones,craniosynostosis,dental problems teeth,early closure skull prevents bones,excess oil,face mild moderate intellectual disabilities,fibroblast growth factor receptor- fgfr,fibroblast growth factors,frequent ear infections hearing loss,gene mutation,genetic mutation gene,growing bones skull,growth abnormalities,high broad forehead,hyperhidrosis,irregular formation bones leads malformations body,joints ( sutures ) bones,missing teeth irregular enamel forming teeth,pressure brain,result blocked airways,severe acne develop,signs bulging slanting downward,slanting wide eyes,sleep apnea,vision problems,way nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10352-diverticular-disease,appendicitis,bacteria stool,chills,constipation,constipation ) colon,cramps lower abdomen,diarrhea,extra strain walls colon,fever,gallstones stomach ulcers,increased pressure,infection,little pockets,mild abdominal cramps,nausea,pain,rectal bleeding,swelling bloating,tenderness affected area,tenderness sensitivity left lower side abdomen,vomiting,weak areas colon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21058-neutropenia,cancer blood,deficiencies,especially mild form,fever sores swelling,hepatitis,infections,lupus,neutrophils,repeated infections,sepsis,tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22127-vulvar-varicosities,bluish purplish underneath skin,bulging veins,changes affect lining veins,changes pregnancy,dyspareunia,fullness,harder carry blood back heart,hormone changes,hormone levels change pregnancy,increased blood flow pelvis,increased uterus size,new weight adds pressure pelvic area,pain,pain discomfort,pain discomfort upper thighs lower back,pool swell veins,pressure,raised areas skin swollen veins underneath,stretchy,swollen bunched cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22019-pimple-on-vagina,acne,acne inversa,bartholin cysts,blocked,contact dermatitis,folliculitis,genital herpes,genital warts,growths,growths form body,herpes simplex virus,hidradenitis suppurativa,human papillomavirus,inflamed infected,inflamed pus,ingrown hairs,molluscum contagiosum,pubic hair follicles,pus-filled sores,razor burn,scars,sexually transmitted infections ( stis ),skin tags,small flaps skin form areas skin rubs,small raised ( papule ),tender touch,uncommon causes,vaginal discharge,viral infection,white tip ’ full pus ( pustule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22012-synovial-sarcoma,chromosome part cell,"hip , knee , ankle shoulder","painless lump appears hip , knee , ankle shoulder",related changes chromosomes,"sudden sharp pain hip , knee , ankle shoulder",swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21991-weeping-eczema,achiness,active inflammation skin,blisters open sores,burning,chills,cold sores,common bacteria,common signs,contagious,cracked inflamed,crusting,dilated blood vessels leak serum soft tissue skin,dilation skin blood vessels,drainage skin,eczema,edema,fatigue,fever,herpes simplex virus,infection,itching soreness skin,itchy skin,mild swelling,neck groin,oozing serum onto skin surface,prominent inflammation,redness,secondary infection,swelling dry,swollen lymph nodes,virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22094-boutonnière-deformity,arthritis,birth defect,"deep cut , finger dislocation fracture",hand injury,injury cut tendon,joints stiff,straighten finger toe,swelling pain middle joint finger toe,thumb affected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21651-vaginal-boil,ability fight infection,areas skin cut broken open,bacteria,boils develop folds skin,crust,developing infection,diabetes conditions,fever swollen lymph nodes,immune system,infection,ingrown hairs,injuries skin acne,lump filled fluid pus,ooze clear fluid,overweight obese,painful,pimple irritation shaving chafing,red lump deep skin,shaving,staphylococcus ( staph ) infection,swollen,type bacteria,white yellow pus-filled center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17745-bone-cancer,difficulty moving,extra tired ( fatigue,fever,pain,painless lump,treatment cancers,unexplained swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17881-gambling-disorder,anxious agitated,irritable restless,uncomfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10370-juvenile-idiopathic-arthritis,blurred vision,eye pain,eye redness,fatigue irritability,fever rash,infection environmental factors influence immune system,morning joint stiffness limping gait,pain,swelling tenderness joints,swollen lymph nodes,warm,weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21577-exocrine-pancreatic-insufficiency-epi,abdominal pain,another inherited condition,break proteins,chronic inflammation damage pancreatic cells,chronic pancreatitis,constipation,cystic fibrosis,cystic fibrosis parent,diabetes,diarrhea,epi childhood adulthood,fatty stools,gas bloating,inflammation swelling pancreas,nearly infants cystic fibrosis,pancreatic cancer,pancreatitis,thick mucus build lungs,uncomfortable digestive problems,weight loss failure thrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
