Disease,Count_number_of_URLs,URL,Symptoms_and_Causes,Diagnosis_and_Tests,Management_and_Treatment,Prevention,Prognosis,Living_with
14128-muscular-dystrophy,14,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy#prevention,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14128-muscular-dystrophy#living-with
14422-neurofibromatosis-type-1-nf1,8,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1#prevention,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14422-neurofibromatosis-type-1-nf1#living-with
15221-juvenile-polyposis-syndrome-jps,7,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps#prevention,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15221-juvenile-polyposis-syndrome-jps#living-with
16813-brugada-syndrome,7,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16813-brugada-syndrome#living-with
16818-heart-attack-myocardial-infarction,7,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction#prevention,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16818-heart-attack-myocardial-infarction#living-with
22077-apert-syndrome,7,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22077-apert-syndrome#living-with
10352-diverticular-disease,7,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease#management-and-treatment,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease#prevention,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/10352-diverticular-disease#living-with
21058-neutropenia,7,https://my.clevelandclinic.org/health/diseases/21058-neutropenia,https://my.clevelandclinic.org/health/diseases/21058-neutropenia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21058-neutropenia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21058-neutropenia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21058-neutropenia#prevention,https://my.clevelandclinic.org/health/diseases/21058-neutropenia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21058-neutropenia#living-with
22127-vulvar-varicosities,7,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities#prevention,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22127-vulvar-varicosities#living-with
22019-pimple-on-vagina,7,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina#prevention,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22019-pimple-on-vagina#living-with
22012-synovial-sarcoma,7,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma#prevention,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22012-synovial-sarcoma#living-with
21991-weeping-eczema,7,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema#prevention,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21991-weeping-eczema#living-with
